date,slot,weekend,guests,lead,actual,predicted,error,abs_error
2026-06-21,24H Night,Weekday,10,5,4500.0,5770.0,1270.0,1270.0
2026-06-22,Couple Full Night,Weekday,2,7,4000.0,3740.0,-260.0,260.0
2026-06-26,12H Day,Weekday,10,14,4000.0,4040.0,40.0,40.0
2026-06-26,24H Night,Weekday,15,11,5000.0,6280.0,1280.0,1280.0
2026-06-27,24H Night,Weekend,15,2,6000.0,10730.0,4730.0,4730.0
2026-06-28,24H Night,Weekday,12,1,4500.0,6060.0,1560.0,1560.0
2026-06-29,24H Night,Weekday,12,1,4000.0,6090.0,2090.0,2090.0
2026-07-01,12H Day,Weekday,7,1,3000.0,3470.0,470.0,470.0
2026-07-01,12H Night,Weekday,13,0,3000.0,3080.0,80.0,80.0
2026-07-04,Couple Half Day,Weekday,2,2,2500.0,5810.0,3310.0,3310.0
2026-07-04,24H Night,Weekend,10,9,5000.0,5910.0,910.0,910.0
2026-07-05,12H Night,Weekday,6,1,2500.0,2600.0,100.0,100.0
2026-07-06,24H Night,Weekday,8,1,3500.0,3870.0,370.0,370.0
2026-07-08,Extended Day,Weekday,10,5,7500.0,2790.0,-4710.0,4710.0
2026-07-11,12H Day,Weekday,4,0,2500.0,3400.0,900.0,900.0
2026-07-11,24H Night,Weekend,10,0,5000.0,5910.0,910.0,910.0
2026-07-12,12H Night,Weekday,10,8,3000.0,2860.0,-140.0,140.0
2026-07-13,12H Day,Weekday,12,3,3000.0,3730.0,730.0,730.0
2026-07-17,12H Day,Weekday,8,15,3500.0,3360.0,-140.0,140.0
2026-07-18,24H Night,Weekend,10,2,5500.0,5850.0,350.0,350.0
2026-07-19,24H Night,Weekday,8,0,3500.0,3870.0,370.0,370.0
2026-07-24,Couple Half Day,Weekday,2,1,1500.0,2350.0,850.0,850.0
2026-07-25,24H Night,Weekend,12,15,6000.0,5880.0,-120.0,120.0
2026-07-27,12H Night,Weekday,3,0,2000.0,2680.0,680.0,680.0
2026-07-28,12H Day,Weekday,6,0,3000.0,3470.0,470.0,470.0
2026-07-28,24H Night,Weekday,8,0,3500.0,3870.0,370.0,370.0
2026-07-30,Couple Half Day,Weekday,2,0,2000.0,2310.0,310.0,310.0
2026-07-30,Couple Full Night,Weekday,2,1,3500.0,2580.0,-920.0,920.0
